"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2025","8,051.17","8,107.30","8,132.52","7,936.37","32.91B","-0.19%"
"10/14/2025","8,066.52","8,269.48","8,284.91","7,974.03","44.05B","-1.95%"
"10/13/2025","8,227.20","8,169.65","8,288.28","8,133.63","36.69B","-0.37%"
"10/10/2025","8,257.86","8,259.08","8,270.33","8,194.05","36.63B","0.08%"
"10/09/2025","8,250.94","8,187.70","8,272.63","8,159.94","34.72B","1.04%"
"10/08/2025","8,166.03","8,201.14","8,224.64","8,044.93","35.53B","-0.04%"
"10/07/2025","8,169.28","8,182.66","8,217.05","8,153.71","42.69B","0.36%"
"10/06/2025","8,139.89","8,155.37","8,176.31","8,104.55","42.95B","0.27%"
"10/03/2025","8,118.30","8,099.65","8,118.30","8,076.60","42.80B","0.59%"
"10/02/2025","8,071.08","8,070.42","8,109.44","8,059.05","40.23B","0.34%"
"10/01/2025","8,043.82","8,069.94","8,093.69","8,034.25","53.67B","-0.21%"
"09/30/2025","8,061.06","8,137.63","8,150.34","8,042.82","46.17B","-0.77%"
"09/29/2025","8,123.25","8,139.58","8,157.33","8,100.02","43.95B","0.30%"
"09/26/2025","8,099.33","8,051.76","8,099.33","8,035.00","35.20B","0.73%"
"09/25/2025","8,040.67","8,130.02","8,146.09","8,022.98","48.39B","-1.06%"
"09/24/2025","8,126.56","8,161.28","8,169.02","8,077.84","45.44B","0.02%"
"09/23/2025","8,125.20","8,066.29","8,125.20","8,039.95","51.87B","1.06%"
"09/22/2025","8,040.04","8,082.26","8,087.93","8,005.35","34.55B","-0.14%"
"09/19/2025","8,051.12","7,996.20","8,051.12","7,983.36","42.36B","0.53%"
"09/18/2025","8,008.43","8,065.74","8,068.01","7,993.52","37.82B","-0.21%"
"09/17/2025","8,025.18","7,964.42","8,025.18","7,940.51","32.37B","0.85%"
"09/16/2025","7,957.70","7,979.32","7,985.58","7,899.67","40.14B","0.26%"
"09/15/2025","7,937.12","7,891.26","7,937.12","7,889.19","34.51B","1.06%"
"09/12/2025","7,854.06","7,819.00","7,854.81","7,790.79","28.96B","1.37%"
"09/11/2025","7,747.90","7,781.17","7,819.10","7,742.60","28.98B","0.64%"
"09/10/2025","7,699.01","7,682.42","7,726.38","7,661.28","26.32B","0.92%"
"09/09/2025","7,628.60","7,748.51","7,791.33","7,619.72","33.54B","-1.78%"
"09/08/2025","7,766.85","7,929.06","7,934.99","7,766.85","33.68B","-1.28%"
"09/04/2025","7,867.35","7,873.84","7,899.80","7,855.74","36.23B","-0.23%"
"09/03/2025","7,885.86","7,843.63","7,911.62","7,840.75","35.17B","1.08%"
"09/02/2025","7,801.58","7,771.33","7,842.30","7,771.33","34.78B","0.85%"
"09/01/2025","7,736.07","7,620.10","7,783.42","7,547.56","35.87B","-1.21%"
"08/29/2025","7,830.49","7,899.89","7,913.86","7,765.60","48.13B","-1.53%"
"08/28/2025","7,952.09","7,951.87","8,022.76","7,941.94","39.93B","0.20%"
"08/27/2025","7,936.18","7,923.00","7,945.44","7,894.76","35.76B","0.38%"
"08/26/2025","7,905.76","7,971.79","7,978.07","7,881.21","50.49B","-0.27%"
"08/25/2025","7,926.91","7,921.02","7,951.98","7,915.05","37.63B","0.87%"
"08/22/2025","7,858.85","7,910.10","7,913.39","7,858.85","32.02B","-0.40%"
"08/21/2025","7,890.71","7,903.29","7,932.31","7,848.88","34.14B","-0.67%"
"08/20/2025","7,943.83","7,874.90","7,952.34","7,863.86","37.50B","1.03%"
"08/19/2025","7,862.95","7,905.35","7,931.76","7,854.10","35.83B","-0.45%"
"08/15/2025","7,898.38","7,967.77","8,017.07","7,898.37","34.69B","-0.41%"
"08/14/2025","7,931.25","7,909.02","7,973.98","7,905.55","36.18B","0.49%"
"08/13/2025","7,892.91","7,846.12","7,903.05","7,835.30","32.40B","1.30%"
"08/12/2025","7,791.70","7,666.09","7,800.83","7,646.91","27.24B","2.44%"
"08/11/2025","7,605.92","7,589.46","7,630.11","7,559.35","23.83B","0.96%"
