Unnamed: 0,date,sentiment_index_lexicon,Positif_lexicon,Netral_lexicon,Negatif_lexicon,sentiment_index_indobert,Positif_indobert,Netral_indobert,Negatif_indobert,Price,Open,High,Low,Vol.,Change %,return,trend
136,2026-03-11,-1,1,6,2,-2,1,5,3,7389.4,"7,484.77","7,527.32","7,380.81",25.32B,-0.69%,-0.6922540388205278,Turun
137,2026-03-12,2,2,3,0,2,2,3,0,7362.12,"7,398.85","7,436.50","7,323.74",23.44B,-0.37%,-0.369177470430615,Turun
138,2026-03-13,-3,4,8,7,-2,5,7,7,7137.21,"7,338.82","7,350.28","7,132.21",25.63B,-3.05%,-3.0549624293002564,Turun
141,2026-03-16,-7,4,7,11,-9,3,7,12,7022.29,"7,115.45","7,120.19","6,917.32",26.42B,-1.61%,-1.6101529869514852,Turun
142,2026-03-17,4,5,3,1,3,4,4,1,7106.84,"7,074.61","7,148.25","7,059.89",22.69B,1.20%,1.2040231890166897,Naik
150,2026-03-25,6,8,4,2,5,8,3,3,7302.12,"7,084.62","7,302.12","7,057.22",34.66B,2.75%,2.747775382589168,Naik
151,2026-03-26,5,7,2,2,4,7,1,3,7164.09,"7,313.67","7,323.70","7,152.59",25.77B,-1.89%,-1.8902729618247796,Turun
152,2026-03-27,2,4,4,2,2,3,6,1,7097.06,"7,136.37","7,154.56","7,070.21",17.19B,-0.94%,-0.9356387203399152,Turun
155,2026-03-30,0,3,10,3,-1,2,11,3,7091.67,"7,020.53","7,104.64","6,945.50",22.18B,-0.08%,-0.0759469414095437,Turun
156,2026-03-31,1,5,5,4,1,4,7,3,7048.22,"7,122.99","7,155.55","7,031.10",23.11B,-0.61%,-0.6126906638351692,Turun
157,2026-04-01,4,10,9,6,5,11,8,6,7184.44,"7,149.25","7,207.17","7,136.25",29.54B,1.93%,1.9326865506468227,Naik
158,2026-04-02,-5,7,15,12,-5,6,17,11,7026.78,"7,153.11","7,161.80","7,019.23",22.53B,-2.19%,-2.1944647042775767,Turun
162,2026-04-06,-3,12,20,15,1,14,20,13,6989.43,"7,001.56","7,009.23","6,934.89",25.26B,-0.53%,-0.5315379163713607,Turun
163,2026-04-07,-1,10,24,11,1,12,22,11,6971.03,"7,001.28","7,022.04","6,942.63",22.57B,-0.26%,-0.2632546573898109,Turun
164,2026-04-08,14,25,33,11,10,24,31,14,7279.21,"7,162.41","7,281.86","7,118.58",38.00B,4.42%,4.420867504515114,Naik
165,2026-04-09,1,15,10,14,2,15,11,13,7307.59,"7,238.46","7,308.58","7,191.59",25.86B,0.39%,0.3898774729675258,Naik
166,2026-04-10,6,13,14,7,9,15,13,6,7458.5,"7,346.49","7,488.02","7,346.49",35.59B,2.07%,2.0651131221100183,Naik
169,2026-04-13,8,16,11,8,9,17,10,8,7500.19,"7,410.08","7,527.87","7,351.36",37.40B,0.56%,0.5589595763223043,Naik
170,2026-04-14,24,31,28,7,18,29,26,11,7675.95,"7,598.80","7,686.35","7,592.74",48.78B,2.34%,2.343407300348388,Naik
171,2026-04-15,-6,11,22,17,-11,10,19,21,7623.59,"7,750.90","7,773.58","7,623.59",46.33B,-0.68%,-0.6821305506158781,Turun
172,2026-04-16,6,11,16,5,8,14,12,6,7621.38,"7,663.34","7,705.03","7,575.53",36.50B,-0.03%,-0.0289889671401533,Turun
173,2026-04-17,0,4,10,4,1,4,11,3,7634.0,"7,645.81","7,673.86","7,607.96",35.99B,0.17%,0.165586809737861,Naik
176,2026-04-20,8,13,20,5,8,14,18,6,7594.11,"7,663.40","7,692.15","7,570.42",37.53B,-0.52%,-0.5225307833377046,Turun
177,2026-04-21,7,14,14,7,4,14,11,10,7559.38,"7,560.29","7,568.99","7,511.83",40.56B,-0.46%,-0.4573281134984786,Turun
178,2026-04-22,6,10,18,4,6,11,16,5,7541.61,"7,528.34","7,578.05","7,513.94",45.93B,-0.24%,-0.235072188459906,Turun
179,2026-04-23,-5,14,24,19,-6,13,25,19,7378.61,"7,564.42","7,582.50","7,378.61",50.35B,-2.16%,-2.161342206770167,Turun
180,2026-04-24,-36,21,57,57,-30,22,61,52,7129.49,"7,378.07","7,383.40","7,115.97",41.58B,-3.38%,-3.3762456614457204,Turun
183,2026-04-27,-1,12,28,13,-1,13,26,14,7106.52,"7,158.51","7,230.03","7,106.52",29.26B,-0.32%,-0.3221829331410686,Turun
184,2026-04-28,1,16,33,15,3,18,31,15,7072.39,"7,128.47","7,151.51","7,032.98",27.29B,-0.48%,-0.4802631949252234,Turun
185,2026-04-29,-8,7,19,15,-2,10,19,12,7101.23,"7,096.61","7,126.06","7,063.99",39.84B,0.41%,0.407782941834367,Naik
186,2026-04-30,-14,39,55,53,-9,38,62,47,6956.8,"7,103.26","7,109.00","6,876.58",45.15B,-2.03%,-2.033873005099107,Turun
